bpla_energy_proxy_pj,bpla_mae,bpla_max_abs,bpla_prefix_bits,bpla_rmse,bpla_spike_events,bpla_timesteps,mbe_available,mbe_energy_proxy_pj,mbe_mae,mbe_max_abs,mbe_num_basis,mbe_rmse,mbe_source,mbe_spike_events,mbe_timesteps,samples,target,x_max,x_min
8315.86,0.0001277716935573731,0.0003980713654363477,4.0,0.00015098520095663243,21825.0,16.0,yes,65154.12000000001,0.010499688417490067,0.07573198528279901,8.0,0.014485364287007836,C:\Users\cm120\Project\VLM_SNN_Research\MBE\mbe_models\activation\mbe_gelu_model.pth,220913.0,32.0,4096.0,gelu,4.0,-4.0
9350.76,0.00013076826528946663,0.00034030175856425426,4.0,0.0001520776929602755,32174.0,16.0,yes,29925.4,0.009411538213764052,0.07672285021694741,6.0,0.01444302329639797,C:\Users\cm120\Project\VLM_SNN_Research\MBE\mbe_models\activation\mbe_tanh_model.pth,125051.0,10.0,4096.0,tanh,4.0,-4.0
8538.76,0.00012305305730190823,0.00030643764711754673,4.0,0.00014212160153334233,24576.0,16.0,yes,115292.92000000001,0.006844443725455136,0.03586032901947672,8.0,0.009195755224304592,C:\Users\cm120\Project\VLM_SNN_Research\MBE\mbe_models\activation\mbe_sigmoid_model.pth,471607.0,32.0,4096.0,sigmoid,6.0,-6.0
