method,prefix_bits,dyadic_terms,distribution,mae,rmse,mean_relative_error,p99_abs_relative_error,max_abs_relative_error,coefficient_entries,coefficient_bits,shift_add_terms_per_product,int_adds_per_product,fp_mults_per_product
bpla-dyadic,6,1,log-uniform,1.5136518478393555,15.247475624084473,-0.0001635246881050989,0.015761224552989006,0.02979850582778454,64,384,2,1,0
bpla-dyadic,6,2,log-uniform,0.04974915832281113,0.5678019523620605,-2.2804047716817877e-07,0.0006704179104417562,0.0021521816961467266,64,768,4,1,0
bpla-dyadic,6,3,log-uniform,0.006312463898211718,0.049915291368961334,2.8842407573392848e-08,5.598724965238944e-05,0.00012588509707711637,64,1152,6,1,0
bpla-dyadic,6,4,log-uniform,0.0038923011161386967,0.027777135372161865,1.4039015283628942e-08,3.2948973966995254e-05,5.732164208893664e-05,64,1536,8,1,0
pao,,,activation-weight,0.0004844492650590837,0.0009580497862771153,-0.03820159286260605,0.10470187664031982,0.11108960956335068,0,0,0,2,0
pao-alpha,,,activation-weight,0.0003310132888145745,0.0006191557622514665,-0.00011317064490867779,0.07041379064321518,0.07689914107322693,0,0,0,4,0
bpla-float,1,,activation-weight,0.00010658526298357174,0.00023592045181430876,-0.0004779764567501843,0.03730374202132225,0.062056805938482285,2,64,0,1,2
bpla-dyadic,1,1,activation-weight,0.0002041068801190704,0.0004579211527016014,-0.006683976389467716,0.07422339171171188,0.11038139462471008,2,12,2,1,0
bpla-dyadic,1,2,activation-weight,0.00010658526298357174,0.00023592045181430876,-0.0004779764567501843,0.03730374202132225,0.062056805938482285,2,24,4,1,0
bpla-dyadic,1,3,activation-weight,0.00010658526298357174,0.00023592045181430876,-0.0004779764567501843,0.03730374202132225,0.062056805938482285,2,36,6,1,0
bpla-dyadic,1,4,activation-weight,0.00010658526298357174,0.00023592045181430876,-0.0004779764567501843,0.03730374202132225,0.062056805938482285,2,48,8,1,0
bpla-float,2,,activation-weight,2.5978511985158548e-05,5.6888715334935114e-05,-3.0786191928200424e-05,0.008678956888616085,0.015425695106387138,4,128,0,1,2
bpla-dyadic,2,1,activation-weight,6.837648106738925e-05,0.00015140208415687084,-0.0006215457688085735,0.023336300626397133,0.03986666351556778,4,24,2,1,0
bpla-dyadic,2,2,activation-weight,2.5978511985158548e-05,5.6888715334935114e-05,-3.0786191928200424e-05,0.008678956888616085,0.015425695106387138,4,48,4,1,0
bpla-dyadic,2,3,activation-weight,2.5978511985158548e-05,5.6888715334935114e-05,-3.0786191928200424e-05,0.008678956888616085,0.015425695106387138,4,72,6,1,0
bpla-dyadic,2,4,activation-weight,2.5978511985158548e-05,5.6888715334935114e-05,-3.0786191928200424e-05,0.008678956888616085,0.015425695106387138,4,96,8,1,0
bpla-float,3,,activation-weight,6.455951279349392e-06,1.4055351130082272e-05,-3.278481472079875e-06,0.002120574237778783,0.0038122599944472313,8,256,0,1,2
bpla-dyadic,3,1,activation-weight,3.832668880932033e-05,8.649500523461029e-05,-1.3260614650789648e-05,0.014092935249209404,0.0202740840613842,8,48,2,1,0
bpla-dyadic,3,2,activation-weight,8.746716957830358e-06,1.9309942217660137e-05,-4.255854037182871e-06,0.0030476655811071396,0.0058303033001720905,8,96,4,1,0
bpla-dyadic,3,3,activation-weight,6.455951279349392e-06,1.4055351130082272e-05,-3.278481472079875e-06,0.002120574237778783,0.0038122599944472313,8,144,6,1,0
bpla-dyadic,3,4,activation-weight,6.455951279349392e-06,1.4055351130082272e-05,-3.278481472079875e-06,0.002120574237778783,0.0038122599944472313,8,192,8,1,0
bpla-float,4,,activation-weight,1.6059588006100967e-06,3.4805063933163183e-06,-6.486946091399659e-08,0.0005246895598247647,0.0009311318281106651,16,512,0,1,2
bpla-dyadic,4,1,activation-weight,3.336910594953224e-05,8.682844054419547e-05,-0.00019771022198256105,0.0168643556535244,0.034021347761154175,16,96,2,1,0
bpla-dyadic,4,2,activation-weight,3.083411456827889e-06,6.931893949513324e-06,-6.736227646797488e-07,0.0010960364015772939,0.0021340185776352882,16,192,4,1,0
bpla-dyadic,4,3,activation-weight,1.6059588006100967e-06,3.4805063933163183e-06,-6.486946091399659e-08,0.0005246895598247647,0.0009311318281106651,16,288,6,1,0
bpla-dyadic,4,4,activation-weight,1.6059588006100967e-06,3.4805063933163183e-06,-6.486946091399659e-08,0.0005246895598247647,0.0009311318281106651,16,384,8,1,0
bpla-float,5,,activation-weight,4.0258385070046643e-07,8.803074251773069e-07,-1.4291249783582316e-07,0.00013125558325555176,0.00022548416745848954,32,1024,0,1,2
bpla-dyadic,5,1,activation-weight,3.050341365451459e-05,7.968237332534045e-05,-0.00010748079512268305,0.015058201737701893,0.02651558257639408,32,192,2,1,0
bpla-dyadic,5,2,activation-weight,1.4684563893752056e-06,3.5590637708082795e-06,9.23088379067849e-08,0.0006526078213937581,0.0013243819121271372,32,384,4,1,0
bpla-dyadic,5,3,activation-weight,4.711239114385535e-07,1.039879521158582e-06,-1.8056461215110176e-07,0.00016175064956769347,0.00034422619501128793,32,576,6,1,0
bpla-dyadic,5,4,activation-weight,4.0258385070046643e-07,8.803074251773069e-07,-1.4291249783582316e-07,0.00013125558325555176,0.00022548416745848954,32,768,8,1,0
bpla-float,6,,activation-weight,1.0096628955125198e-07,2.1921982806816231e-07,2.8589681733137695e-08,3.289810410933569e-05,5.835949559696019e-05,64,2048,0,1,2
bpla-dyadic,6,1,activation-weight,3.028976971108932e-05,8.123661973513663e-05,-0.00015526892093475908,0.015736989676952362,0.030017277225852013,64,384,2,1,0
bpla-dyadic,6,2,activation-weight,1.0498589517737855e-06,3.125189323327504e-06,6.696549803564267e-07,0.0006765887956134975,0.0020973882637917995,64,768,4,1,0
bpla-dyadic,6,3,activation-weight,1.5257316476890992e-07,3.443772129685385e-07,4.3615568046107e-08,5.6002627388807014e-05,0.00012979800521861762,64,1152,6,1,0
bpla-dyadic,6,4,activation-weight,1.0096628955125198e-07,2.1921982806816231e-07,2.8589681733137695e-08,3.289810410933569e-05,5.835949559696019e-05,64,1536,8,1,0
